,filename,chunk
34,BCP.txt,"Login to your server with your DSRM password you created during Active Directory installation.
Once you're logged into your server and in DSRM safe mode, open a command prompt by clickingÂ Start, type ""cmd"", and press enter.
To make sure you restore the correct backup it's a good idea to use the ""wbadmin get versions"" command and write down the version you need to use.
Now we need to perform a non-authoritative restore of Active Directory by typing ""wbadmin start systemstaterecovery -version: âDate-time"".
Note:Â The version of backup will vary depending on your situation. Type ""y"" and press enter to start the non-authoritative restore.
STEP 5:
Click on Start      Run, and type cmd .
In command prompt type dcdiag /fix, and view the result.
Now type netdiag, and view the result.
To verify the replication type repadmin /showreps

Case2:	The server hardware damaged, restore domain controller on other server computer.
STEPS:
Take System State Backup of DC1
Install OS on second Server.
Restart server in DSRM mode.
Restore System State Backup on original Location (Non-Authoritative Restore).
Change the BURFLAG value to D2 to complete Non-Authoritative Restore.
Restart Computer/Repair OS.
Verify the existence of ClientProtocols key.
Verify the DNS record registration of this server through dcdiag & netdiag.
STEP 1:
1.Â Open your command prompt by clickingÂ StartÂ and type ""cmd"" and hit enter.
2.Â In your command prompt type ""wbadmin start systemstatebackup -backuptarget:e:"" and press enter.

You can use a different backup target of your choosing
Type ""y"" and press enter to start the backup process.
When the backup is finished running you should get a message that the backup completed successfully. If it did not complete properly you will need to troubleshoot."
35,BCP.txt,"STEP 2:
Reinstalled the OS to the same drive letter C as previously, with same installation folder, and with same physical amount.
STEP 3:
Now restart the server, and after BIOS information press F8 key.
Now select the option Directory service restore Mode through arrow key, and press Enter key.
Now a Pop up Message will appear, click on OK.
When login prompt will appear enter administrator, in User Name box, and the password in Password box, click on OK.
STEP 4:
Once you're logged into your server and in DSRM safe mode, open a command prompt by clickingÂ Start, type ""cmd"", and press enter.
To make sure you restore the correct backup it's a good idea to use the ""wbadmin get versions"" command and write down the version you need to use.
Now we need to perform a non-authoritative restore of Active Directory by typing ""wbadmin start systemstaterecovery -version: âDate-time"".
Note:Â The version of backup will vary depending on your situation. Type ""y"" and press enter to start the non-authoritative restore.
STEP 5:
Click Start, and then click Run
In the Open box, type regedit, and then click OK.
In the left pane expand My Computer.
Expand HKEY_LOCAL_MACHINE, and then expand SYSTEM.
Expand CurrentControlSet, and then expand Services.
Expand NtFrs, and then expand Parameters
Expand Backup/Restore, and then click Process at Startup
In the right pane, right-click BurFlags, and then click Modify
In the Value data box, type d4, and then click OK
STEP 6:
Now restart the server in normal mode.
If server not restart in normal mode then an OS repair is required
STEP 7:
Click Start, and then click Run. 
In the Open box, type regedit, and then click OK. 
In the left pane, expand My Computer. 
Expand HKEY_LOCAL_MACHINE, and then expand SOFTWARE. 
Expand Microsoft, and then expand Rpc
Now verify the existence of key ClientProtocols
Now in right pane verify the existence of the following values:
Ncacn_ip_tcp	REG_SZ	rpcrt4.dll
Ncacn_nb_tcp	REG_SZ	rpcrt4.dll"
36,BCP.txt,"Ncacn_ip_udp	REG_SZ	rpcrt4.dll
	Ncancn_np	REG_SZ	rpcrt4.dll
STEP 8:
Click on Start   Run, and type cmd .
In command prompt type dcdiag /fix, and view the result.
Now type netdiag, and view the result.
To verify the replication type repadmin /showreps"
37,BCP.txt,"Emergency Incident Response Plan
This section of the document explains the importance of developing an incident response plan through a well-defined incident response framework. The framework comprises seven phases that ensure a consistent and systematic approach in handling such incidents. The details for each of the seven phases is summarized below:
Phase 1 â Preparation: In any incident response plan, it is essential to form an Incident Response Team (âIRTâ) prior to other tasks. The role of the team is to promptly handle an incident so that it will have minimal impact to the business operation. The team is formed of members from various functional roles in your organisation. The process of setting up the team is explained in section 4.1.
Phase 2 â Identification: The occurrence of an incident is unpredictable. An anomaly in the system behaviour may indicate an incident or configuration errors. Hence, identifying an incident amidst routine daily operations is not an easy task. In section 4.2, some guidelines are provided to facilitate the process of positively identifying an intrusion incident.
Phase 3 â Assessment: After the identification phase, an initial assessment should be performed to confirm the existence of the incident. The assessment should include determining the scope, the impact of the incident, and the extent of the damage caused by the incident.
Phase 4 â Containment: Containment of the incident is necessary to minimise and isolate the damage incurred by your Company. In section 4.4, some guidelines are provided to help determine the appropriate course of action for limiting the extent of the incident.
Phase 5 â Eradication: In order to successfully eliminate the incident, the IRT need to determine the cause of the incident that resulted in the compromise of the system."
38,BCP.txt,"Phase 6 â Recovery: The recovery phase restores operations of the compromised system to facilitate the resumption of normal business operations. Prior to the resumption process, a validation check should be performed to ensure that the system is secured against any repeated incidents. Furthermore, the system should be placed under surveillance to ensure that if the perpetrator returns, unauthorised attempts may be detected early.
Phase 7 â Follow-up: As a follow-up, you should perform a post-mortem analysis of the compromised system to understand the weaknesses that resulted in the incident and other potential vulnerable areas. In the event that the Company is considering legal action against the perpetrator, it is recommended that forensic specialists and/or law enforcement agencies should be engaged to ensure that digital evidence are accumulated and preserved in a manner that is consistent with the legislative requirements.

Incident Definition
A security incident can be any of the following:

violation of an explicit or implied security policy

attempts to gain unauthorized access

unwanted denial of resources

unauthorized use of electronic resources

Modification without the ownerâs knowledge, instruction, or consent.

As an illustration, one of the security requirements in the Xtracap  is to ensure that all vendor-supplied default system passwords should be changed. There are many websites that publish default passwords for many vendor products. One of the websites is http://www.astalavista.com. If an intruder compromises a router using its default password obtained from the above website, an incident has occurred. Using the compromised device, further exploits may be launched against other systems or network devices in the IT infrastructure.

Incident Classification"
39,BCP.txt,"Incident Severity Level
Once classification of the incident has occurred, the severity level of the incident can be determined. The severity level of the incident will dictate the course of actions that should be performed to resolve the incident. The following five severity levels may be assigned to the incident:


Incident Response

The objective of an incident response is to provide a systematic approach in developing an incident response plan. A well-defined incident response plan will enable you to handle any incident efficiently and effectively with minimal impact to the business operations. When developing these plans, efforts must be made to anticipate scenarios before they happen, and to make the following decisions in advance:

Where did the incident happen?

Which areas of the business processes are affected?

Who should be notified?

What are the procedures/actions to be taken?

How should the procedures/actions be performed?

Preparation
An Incident Response Team (IRT) is made up of senior management and experienced people â these are immediately made, which are comprises of the stakeholders discussed above or as needed from the organization. The role of the IRT is to promptly handle an incident so that containment, investigation and recovery can quickly occur. The IRT should be empowered by the top management to have decision-making authority for facilitating the incident response process. The needs and resources of the company also play a part in the selection of the team members. Below picture illustrates an overview of the team structure in IRT:"
40,BCP.txt,"IRT Leader 			: Inderjit Singh Bedi	
Supervisory Team Leader	: Nitin Verma
Supervisory Team Member	:Pulkit Dham
Note: More people may be added as needed.

The responsibility of the Supervisory Team includes:
Making decisions on, and reviewing steps taken to rectify matters
Communicating and translating technical information to senior management or board of directors
Supervising and reviewing test results based on the tests conducted to verify the feasibility and effectiveness of the incident response procedures
Cooperating with and supplying information to the support team so that their duties can be carried out
Coordinating resources, e.g. software and hardware acquisition, if required
Maintaining proper records of events and actions taken
Attending, establishing and conducting training for relevant personnel
Performing scenario planning and identifying corrective actions for each scenario; and
Supervising and reviewing the update, including lessons learnt, on the Incident Response Procedures.

The responsibility of the Site Team includes:
Surveying and securing the systems and environment
Containing the incident
Eradicating incident and performing recovery procedures
Compiling ârecovery kitâ, e.g. recovery procedures, contact list, boot disks, software, tools, hard disk, and so on
Attending and conducting training for relevant personnel and
Updating and maintaining the Incident Response Procedures.

The responsibility of the Support Team includes:
Providing logistic and technical support to other IRT teams when required
Updating public and relevant authorities via commercial press, web sites, telephone and others, and
Coordinating communications for the company with various external parties, if required.

A leader will be appointed in the IRT as the point of contact in the event of an incident. When an incident is reported by the helpdesk, the leader will be responsible for contacting the relevant sub-teams to handle the incident."
41,BCP.txt,"When reporting the incident, communication should be made via the telephone, etc. This is to prevent interception of emails by the perpetrator if the computer used for sending the email has been compromised or by a âsnifferâ program that has been planted on the network to capture information sent across the network. Should sensitive electronic media need to be passed to a third party (e.g. listings of account numbers that were leaked) this may be done via secure courier. However the media must be strongly encrypted.
Depending on situation, support from other technical teams in the Company (e.g. the network operations, anti-virus team or IT helpdesk) may be required to assist in the incident handling process.

Identification
The cost of incident response and recovery can be high. When a staff member notices a suspicious anomaly in data, a system, or the network, the IRT must perform investigation and verification, which is time and resource consuming. This activity is at risk if the number of false reports exceeds the number of real incidents that occurred, as it diverts resources away from real incidents. To facilitate the task of identification, the following is a list of typical symptoms of security incidents, which include any or all the following:"
42,BCP.txt,"A system alarm or similar indication from an intrusion detection tool
Suspicious entries in system or network accounting (e.g. a UNIX user obtains root access without going through the normal sequence)
Accounting discrepancies (e.g. an eighteen-minute gap in the accounting log with no entries)
Repetitive unsuccessful logon attempts within a short time interval
Unexplained new user accounts, new files or unfamiliar file names
Phishing messages
Unexplained modifications to file lengths and/or dates, especially in system executable files
Unexplained attempts to write to system files or changes in system files
Unexplained modification or deletion of data
Denial/disruption of service or inability of one or more users to login to an account
Ransomware attack
Poor system performance of dedicated servers
Operation of a program or sniffer device to capture network traffic
Unusual time of usage (e.g. users login during non-working hours)
An indicated last time of usage of a user account that does not correspond to the actual last time of usage for that user, and
Unusual usage patterns (e.g. programs are being compiled in the account of a Finance user with no programming background).

Although no single symptom conclusively shows that a security incident is taking place, observing one or more of these symptoms prompts the observer to investigate events more closely. System administrators who encounter one or more of these symptoms should work with the IRT to determine the cause of the incident. Using the above-mentioned categories of incidents as reference, the IRT should validate security incidents on a per case basis before proceeding with the other phases in the framework. All details in the Identification phase should be documented in the Incident Reporting Form."
43,BCP.txt,"Assessment
The next step to be taken by the IRT is to assess the scope, the impact and the magnitude of the incident. As a note of precaution, never power off or reboot a compromised system immediately as this may result in the loss of data, information or evidence required for forensic investigation later. The following are some of the factors to consider during the assessment:

How many computers are affected by this incident?
Is sensitive information involved?
What is the entry point of the incident (e.g. network, phone dial)?
What is the potential damage caused by the incident?
What is the estimated time to recover from the incident?
What resources are required to manage the situation?
How should the assessment be performed effectively?

Depending on the severity of the situation, top management may have to be informed. Notification guidelines should be developed by the IRT during the preparation of the incident response plan. For âExtremeâ and âHighâ risk incidents, the IRT should escalate them to Visa. The Incident Reporting Form can be used to document the information gathered from the assessment.

Containment
The objective of the containment phase is for the IRT to regain control of the situation by limiting the extent of the damage. The IRT may consider isolating the compromised system from the rest of the network systems. However, this may disrupt the business operation if the compromised system is critical or many systems were affected by the incident, as in the example of a virus outbreak. Hence, the IRT must evaluate with the management on a per case basis the risk of continuing operations versus regaining control of the compromised system. All attempts to contain the threat must consider every effort to minimize the impact to the business operations."
44,BCP.txt,"Furthermore, a backup should also be performed on the system to maintain the current state of the system to facilitate the post-mortem and forensic investigation later. The IRT may also consider changing the system passwords to prevent the possibility of Trojan programs being installed on the compromised system that allows the intruder from returning to the system via a backdoor.

Eradication
After the containment phase, further investigation should be performed to uncover the cause of the incident by analyzing system logs of various devices (e.g., firewall, router, host logs). It is important that the IRT uses a separate set of administrative tools for the investigation and not those in the compromised system. If the perpetrator has modified the system configuration, execution of any system tools may have dire consequences. For example, the intruder may have modified the DOS CMD.EXE application of the compromised system to delete all files in the system rather than to return a command shell.

A clean operating system should be reloaded into the compromised server after the investigation. Many off-the shelf operating systems are not developed with security in mind. Hence, to increase the security defence of the system, it must undergo a hardening process, which should include:

Applying all the latest patches
Disabling any unnecessary services
Installing anti-virus software, and
Applying the Companyâs security policy to the system.

Recovery
Prior to restoring the system from a clean backup, it is recommended that the IRT validate that the eradication procedures have been properly performed. After installing the backup, the system should be monitored in a test environment to determine if it is functioning normally before it can be restored into the business operation."
45,BCP.txt,"Documentation and Records
All details related to the incident response process should be documented and filed for easy reference. This provides valuable information to unravel the course of events and can serve as evidence if prosecution of intruders is necessary. It is recommended that the following items be maintained:

All system events (audit records)
All actions taken (including the time that an action is performed), and
All external conversations (including person with whom the discussion was held, the date and time and the content of the conversation).

Furthermore, an incident report documenting the following should be written by the IRT at the end of the exercise:
A description of the exact sequence of events
The method of discovery
Preventive measure put in place, and
Assessment to determine if the recovery step taken is sufficient and what other recommendations need to be considered
The objective of the report is to identify potential areas of improvement in the incident handling and reporting procedures. Hence, the review of the report by management should be documented, together with the lessons learnt, to improve on the identified areas and used as reference for future incidents."
46,Business Continuity Policy.txt,Business Continuity Policy
47,Business Continuity Policy.txt,"Introduction
This policy outlines the approach to business continuity management for Xtracap Fintech India Pvt Ltd. The policy applies to all employees, contractors, and any third-party vendors who work with Xtracap Fintech.
Objectives
The objectives of this policy are to ensure that:
Xtracap Fintech can continue to operate in the event of a disruption to its normal business operations
Xtracap Fintech can provide an acceptable level of service to its customers during a disruption
Xtracap Fintech can recover its normal business operations as quickly and effectively as possible after a disruption
All employees understand their roles and responsibilities in relation to business continuity
Scope
This policy covers all areas of Xtracap Fintech's operations, including but not limited to:
IT systems and infrastructure
Key business processes
Communication systems
Office facilities
Human resources

Responsibilities
4.1 Executive Management
Executive management is responsible for:
Approving and reviewing the Business Continuity Plan
Providing the necessary resources for business continuity
Ensuring all employees are aware of their roles and responsibilities


4.2 Business Continuity Management Team
The Business Continuity Management Team (BCMT) is responsible for:
Developing and maintaining the Business Continuity Plan
Testing and reviewing the Business Continuity Plan on a regular basis
Ensuring all employees are aware of their roles and responsibilities
Implementing the Business Continuity Plan in the event of a disruption"
48,Business Continuity Policy.txt,"4.3 Employees
All employees are responsible for:
Understanding their roles and responsibilities in relation to business continuity
Cooperating with the BCMT during a disruption
Participating in regular testing and training

Business Continuity Plan
The Business Continuity Plan outlines the steps to be taken in the event of a disruption to Xtracap Fintech's normal business operations. Xtracap Fintech will implement the following business continuity planning process:
Identify critical services and resources that are necessary for Xtracap Fintech to continue its operations
Assess the impact of a disruption on these critical services and resources
Develop and implement a business continuity plan that includes procedures and measures to ensure the continuity of critical services and resources
Test and validate the business continuity plan on a regular basis
Review and update the business continuity plan as needed to ensure its effectiveness

Emergency Response 
In the event of an unplanned disruption, Xtracap Fintech will activate its business continuity plan and emergency response procedures. 
Notify all relevant parties, including employees, clients, vendors, and regulators
Assess the impact of the disruption on critical services and resources
Activate backup systems and alternate locations to ensure the continuity of critical services and resources
Monitor the situation and provide regular updates to relevant parties
Deactivate the business continuity plan and emergency response procedures once the disruption has been resolved

Testing and Review
The BCMT will conduct yearly testing and review of the Business Continuity Plan to ensure its effectiveness. Testing will include:
Testing the emergency response procedures
Testing the business recovery procedures
Testing the communication procedures
Testing the IT recovery procedures
Testing the off-site backup and recovery procedures"
49,Business Continuity Policy.txt,"Conclusion
Xtracap Fintech is committed to maintaining an effective Business Continuity Plan to ensure the continuity of its operations in the event of a disruption. All employees are expected to comply with this policy and participate in regular testing and training. The Business Continuity Plan will be reviewed and updated on a regular basis to ensure its ongoing effectiveness."
50,Business Continuity.txt,"Business Continuity

Policy Statement 
Corporate management has approved the following policy statement: 
â¢ The company shall develop a comprehensive IT disaster recovery plan.
â¢ A formal risk assessment shall be undertaken to determine the requirements for the disaster recovery plan. 
â¢ The disaster recovery plan should cover all essential and critical infrastructure elements, systems and networks, in accordance with key business activities. 
â¢ The disaster recovery plan should be periodically tested in a simulated environment to ensure that it can be implemented in emergency situations and that the management and staff understand how it is to be executed. 
â¢ All staff must be made aware of the disaster recovery plan and their own respective roles. 
â¢ The disaster recovery plan is to be kept up to date to consider changing circumstances.

Objectives 
The principal objective of the disaster recovery program is to develop, test and document a well-structured and easily understood plan which will help the company recover as quickly and effectively as possible from an unforeseen disaster or emergency which interrupts information systems and business operations. Additional objectives include the following: 
â¢ The need to ensure that all employees fully understand their duties in implementing such a plan 
â¢ The need to ensure that operational policies are adhered to within all planned activities 
â¢ The need to ensure that proposed contingency arrangements are cost-effective 
â¢ The need to consider implications on other company sites 
â¢ Disaster recovery capabilities as applicable to key customers, vendors and others."
51,Business Impact Analysis.txt,"Business Impact analysis

Purpose: 
The purpose of this policy is to define the process for conducting a business impact analysis (BIA) to identify critical business processes and prioritize their recovery in the event of a disruption.
Scope: 
This policy applies to all business units and functions within the firm.
Policy:
Business Impact Analysis Process: 
The BIA process will be conducted by the team in collaboration with all business units and functions. 
The BIA process will include the following steps: i. Identification of critical business processes and their dependencies on IT systems. ii. Evaluation of the potential impact of disruptions to critical business processes. iii. Identification of recovery time objectives (RTOs) for critical business processes. iv. Identification of resource requirements to achieve RTOs for critical business processes. c. The BIA process will be reviewed and updated at least annually or as significant changes occur within the organization.

Roles and Responsibilities: a. IT team: 
Lead the BIA process. 
Identify and prioritize critical business processes. 
Define RTOs and resource requirements for critical business processes. 
Business units and functions: i. Provide input into the identification of critical business processes and their dependencies on IT systems. ii. Provide input into the evaluation of the potential impact of disruptions to critical business processes.

Reporting: 
The results of the BIA process will be documented in a report that includes: 
i. Executive summary of the BIA process and results. 
ii. Identification of critical business processes. 
iii. Potential impact of disruptions to critical business processes. 
iv. RTOs and resource requirements for critical business processes. 
v. Summary of findings and recommendations. 
The BIA report will be reviewed and updated at least annually, or as significant changes occur within the organization."
52,Business Impact Analysis.txt,"Exceptions: a. Any exceptions to this policy must be approved by the IT Director.
Enforcement: Failure to comply with this policy may result in disciplinary action, up to and including termination of employment or termination of contract."
53,BYOD Policy.txt,"Overview
Xtracap grants its employees the privilege of purchasing and using Laptop, smartphones and tablets of their choosing at work for their convenience. Xtracap reserves the right to revoke this privilege if users do not abide by the policies and procedures outlined below.
This policy is intended to protect the security and integrity of Xtracapâs data and technology infrastructure. Limited exceptions to the policy may occur due to variations in devices and platforms.
Employees must agree to the terms and conditions set forth in this policy in order to be able to connect their devices to the company network.
Acceptable Use
The company defines acceptable business use as activities that directly or indirectly support the business of Xtracap.
The company defines acceptable personal use on company time as reasonable and limited personal communication or recreation, such as reading or game playing.
Employees are blocked from accessing certain websites during work hours/while connected to the corporate network at the discretion of the company. Such websites include, but are not limited toâ¦
Devicesâ camera and/or video capabilities are/are not disabled while on-site.
Devices may not be used at any time to:
Store or transmit illicit materials
Store or transmit proprietary information belonging to another company
Harass others
Engage in outside business activities
Etc.
The following apps are allowed: (include a detailed list of apps, such as weather, productivity apps, Facebook, etc., which will be permitted)
Only Preapproved Apps can be Installed, Please check with IT Team for Clarification. 
Employees may use their device to access the following company-owned resources: email, calendars, contacts, documents, etc.
Xtracap has a zero-tolerance policy for texting or emailing while driving and only hands-free talking while driving is permitted."
54,BYOD Policy.txt,"Devices and Support
Smartphones including iPhone, Android, Blackberry and Windows phones are allowed (the list should be as detailed as necessary including models, operating systems, versions, etc.).
Tablets including iPad and Android are allowed (the list should be as detailed as necessary including models, operating systems, versions, etc.).
Connectivity issues are supported by IT; employees should/should not contact the device manufacturer or their carrier for operating system or hardware-related issues.
Devices must be presented to IT for proper job provisioning and configuration of standard apps, such as browsers, office productivity software and security tools, before they can access the network.
Reimbursement
The company will not reimburse the employee for the cost of the device
Security
In order to prevent unauthorised access, devices must be password protected using the features of the device and a strong password is required to access the company network.
The companyâs strong password policy is: Passwords must be at least six characters and a combination of upper- and lower-case letters, numbers and symbols. Passwords will be rotated every 90 days and the new password canât be one of 15 previous passwords.
The device must lock itself with a password or PIN if itâs idle for five minutes.
After five failed login attempts, the device will lock. Employees must contact IT to regain access.
Rooted (Android) or jailbroken (iOS) devices are strictly forbidden from accessing the network.
Employees are automatically prevented from downloading, installing and using any app that does not appear on the companyâs list of approved apps.
Laptops, Smartphones and tablets that are not on the companyâs list of supported devices are/are not allowed to connect to the network.
Laptops Smartphones and tablets belonging to employees that are for personal use only are/are not allowed to connect to the network."
55,BYOD Policy.txt,"Employeesâ access to company data is limited based on user profiles defined by IT and automatically enforced.
The employeeâs device may be remotely wiped if 1) the device is lost, 2) the employee terminates his or her employment, 3) IT detects a data or policy breach, a virus or similar threat to the security of the companyâs data and technology infrastructure.


Risks/Liabilities/Disclaimers
While IT will take every precaution to prevent the employeeâs personal data from being lost in the event it must remote wipe a device, it is the employeeâs responsibility to take additional precautions, such as backing up email, contacts, etc.
The company reserves the right to disconnect devices or disable services without notification.
Lost or stolen devices must be reported to the company within 24 hours. Employees are responsible for notifying their mobile carrier immediately upon loss of a device.
The employee is expected to use his or her devices in an ethical manner at all times and adhere to the companyâs acceptable use policy as outlined above.
The employee is personally liable for all costs associated with his or her device.
The employee assumes full liability for risks including, but not limited to, the partial or complete loss of company and personal data due to an operating system crash, errors, bugs, viruses, malware, and/or other software or hardware failures, or programming errors that render the device unusable.
Xtracap reserves the right to take appropriate disciplinary action up to and including termination for noncompliance with this policy."
56,Capacity Management Process.txt,"CAPACITY MANAGEMENT PROCESS
ISO 27001: 2013

XTRACAP FINTECH PRIVATE LIMITED
411, Vishal Tower, 10 District Centre, Janakpuri, Delhi, West Delhi, India - 110058



Document Summary


Document Revision History"
57,Capacity Management Process.txt,"INTRODUCTION
2.1 PROCESS OVERVIEW
The process of capacity planning is shown below.

This process will be used as the basis for capacity management within Xtracap and is described in more detail in the following sections."
58,Capacity Management Process.txt,"2.2 System Recovery Procedure
2.2.1 Forecast Future Capacity Requirements
The purpose of this step is to capture and understand the changing business requirement for capacity. This may take a number of forms, such as:
increasing or decreasing use of existing applications by current users
the addition or removal of users
a change in the way the system is being used e.g. the introduction of a new batch job that must be run during the working day
a change in the days and/or times the services are used e.g. beginning Saturday working or overtime
Such changes may have an effect on a number of areas of infrastructure such as server processor and disk capacity or network bandwidth as well as upon other resources such as people and facilities engaged in delivering the service.
In order to gain as much advance knowledge of such changes as possible, business capacity requirements will be a key area addressed at each service review meeting and will be a standard agenda item. These meetings will be minuted and items affecting capacity management will be fed into the overall capacity plan for Xtracap Fintech India Pvt Ltd.
2.2.2 Plan to Meet Requirements
For each identified service provided by Xtracap Fintech India Pvt, an estimate of future capacity adjustments will be made. 
A capacity plan will be produced on an annual basis which will bring together the future demands on service components from business changes and the current utilisation of resources and identify any areas in which the provision of capacity needs to be adjusted. This may involve the justification of additional hardware such as server upgrades, the recruitment of additional support staff or the installation of higher bandwidth links between sites, amongst other proposals."
59,Capacity Management Process.txt,"Key to this task will be the understanding of which service components underpin each service and the dependencies between them. For shared resources such as file and print servers and domain controllers for example, the net impact of changes across all business areas must be considered.
Although initially produced on an annual basis, the capacity plan will be subject to amendments as and when significant changes are made to business requirements or to the infrastructure. These amendments will be made under the control of the change management process.

2.2.3 Monitor, Analyse and Report on Resource Usage
In order to understand the current use of our resources, where possible software tools will be used to record the utilisation of key components. As a minimum, these will be:
Server processor capacity
Server disk capacity
Network utilisation
Where feasible, this data will be collected continuously and stored for historical reporting purposes. A threshold will be set for key resources (such as disk capacity) so that an alert is generated if that threshold is exceeded, allowing immediate action to be taken.
The tools that will be used are:
Shell Scripts
Jenkins"
60,Capacity Management Process.txt,"2.2.4 Tune to Make Best Use of Resources
In addition to monitoring the actual usage of key resources, regular attention will also be paid to the correct setup and tuning of servers and network devices so that best performance can be obtained from the available resources. 
 This will cover issues such as:
Memory allocation
Swap space sizes
Job priorities
Identification of resource bottlenecks (e.g. insufficient disk arms)
An annual exercise will be carried out on all business-critical servers. All changes identified will be implemented under strict change management control.
2.3 ROLES AND RESPONSIBILITIES
Service Manager
Consults with interested parties regarding potential capacity requirements in the next budget year
Prepares a draft capacity plan for review
Liaises with resource managers 
Proposes additional expenditure as part of budget cycle

Business Customer
Provides information regarding changes affecting capacity
Keeps the [Service Manager] informed of any amendments

Top Management
Approves the capacity plan
Considers budget implications of meeting requirements

Resource Manager
Monitors the usage levels of key resources
Reports on any exceptions potentially affecting service
Reports on current usage levels
Performs tuning activities where appropriate

2.4 RACI MATRIX
The table below clarifies the responsibilities at each step using the RACI system, i.e.:
  R= Responsible	 A= Accountable	C= Consulted 	             I= Informed


<= END OF DOCUMENT =>"
61,Cloud Security.txt,"Overview
Cloud computing offers a number of advantages including low costs, high performance and quick delivery of services. However, without adequate controls, it also exposes individuals and organizations to online threats such as data loss or theft, unauthorized access to corporate networks, and so on
This cloud computing policy is meant to ensure that cloud services areÂ NOTÂ used without the IT Infra Leadâs knowledge. It is imperative that employeesÂ NOTÂ open cloud services accounts or enter into cloud service contracts for the storage, manipulation or exchange of company-related communications or company-owned data without the IT Infra Leadâs input. This is necessary to protect the integrity and confidentiality of Xtracap data and the security of the corporate network"
62,Cloud Security.txt,"Purpose

The purpose of this policy is to outline the acceptable use of the cloud services offered by Xtracap. Xtracapâs IT department remains committed to enabling employees to do their jobs as efficiently as possible through the use of technology. The following guidelines are intended to establish a process whereby Xtracap employees can use cloud services without jeopardizing company data and computing resourcesof network systems and services, and legal issues. 
Scope"
63,Cloud Security.txt,"This policy applies to all employees in all departments of Xtracap exceptions.
This policy pertains to all external cloud services, e.g. cloud-based email, document storage, Software-as-a-Service (SaaS), Infrastructure-as-a-Service (IaaS), Platform-as-a-Service (PaaS), etc. Personal accounts are excluded.
If you are not sure whether a service is cloud-based or not, please contact the IT department.
Policy
Use of cloud computing services for work purposes must be formally authorized by the IT Infra Lead. The IT Infra Lead will certify that security, privacy and all other IT management requirements will be adequately addressed by the cloud computing vendor.
For any cloud services that require users to agree to terms of service, such agreements must be reviewed and approved by the IT Infra Lead
The use of such services must comply with IT Infra Leadâs existing Acceptable Use Policy/Computer Usage Policy/Internet Usage Policy/BYOD Policy.
Employees must not share log-in credentials with co-workers. The IT department will keep a confidential document containing account information for business continuity purposes.
The use of such services must comply with all laws and regulations governing the handling of personally identifiable information, corporate financial data or any other data owned or collected by Xtracap.
The IT Infra Lead decides what data may or may not be stored in the Cloud.
Personal cloud services accounts may not be used for the storage, manipulation or exchange of company-related communications or company-owned data.
Office 365
New employees get access to Office 365 by Default when they Join Xtracap, they will be added to the Default Group and their respective Teams.
It is mandatory for all employees to complete Infosec Training as part of the Induction."
64,Cyber Security.txt,"Overview
The risk of data theft, scams, and security breaches can have a detrimental impact on a company's systems, technology infrastructure, and reputation. As a result, Xtracap Fintech has created this policy to help outline the security measures put in place to ensure information remains secure and protected.
Purpose
The purpose of this policy is to (a) protect Xtracap data and infrastructure, (b) outline the protocols and guidelines that govern cyber security measures, (c) define the rules for company and personal use, and (d) list the company's disciplinary process for policy violations.
Scope
This policy applies to all of Xtracap remote workers, permanent, and part-time employees, contractors, volunteers, suppliers, interns, and/or any individuals with access to the company's electronic systems, information, software, and/or hardware.
Confidential Data
Xtracap defines ""confidential data"" as:
Unreleased and classified financial information.
Customer, supplier, and shareholder information.
Customer leads and sales-related data.
Patents, business processes, and/or new technologies.
Employees' passwords, assignments, and personal information.
Company contracts and legal records
Device Security:
Company Use.
To ensure the security of all company-issued devices and information, Xtracap employees are required to:
Keep all company-issued devices password-protected (minimum of 8 characters). This includes tablets, computers, and mobile devices.
Secure all relevant devices before leaving their desk.
Obtain authorization from the Office Manager and/or Inventory Manager before removing devices from company premises.
Refrain from sharing private passwords with coworkers, personal acquaintances, senior personnel, and/or shareholders.
Regularly update devices with the latest security software.
5.2 Personal Use."
65,Cyber Security.txt,"Xtracap recognizes that employees may be required to use personal devices to access company systems. In these cases, employees must report this information to management for record-keeping purposes. To ensure company systems are protected, all employees are required to:
Ensure all personal devices used to access company-related systems are password protected(minimum of 8 characters).
Install full-featured antivirus software.
Regularly upgrade antivirus software.
Lock all devices if left unattended.
Ensure all devices are protected at all times.
Always use secure and private networks.
5.3 Email Security.
Protecting email systems is a high priority as emails can lead to data theft, scams, and carry malicious software like worms and bugs. Therefore, Xtracap requires all employees to:
Verify the legitimacy of each email, including the email address and sender name.
Avoid opening suspicious emails, attachments, and clicking on links.
Look for any significant grammatical errors.
Avoid clickbait titles and links.
Contact the IT department regarding any suspicious emails.
5.4 Transferring Data.
Xtracap recognizes the security risks of transferring confidential data internally and/or externally. To minimize the chances of data theft, we instruct all employees to:
Refrain from transferring classified information to employees and outside parties.
Only transfer confidential data over Xtracap networks.
Obtain the necessary authorization from senior management.
Verify the recipient of the information and ensure they have the appropriate security measures in place.
Adhere to Xtracap data protection law andÂ confidentiality agreement.
Immediately alert the IT department regarding any breaches, malicious software, and/or scams."
